----- n=4 --------------------------
c_g,   c_bf,  Πs,    k_bf   
1,     1,     146,   1      
1,     2,     1,     3      
2,     3,     1,     2      
2,     3,     1,     2      
3,     3,     1,     2      
2,     2,     2,     2      
2,     2,     2,     2      
3,     3,     1,     2      
2,     3,     1,     2      
2,     2,     3,     2      
1,     2,     1,     3      
2,     2,     3,     2      
2,     2,     2,     2      
2,     2,     2,     2      
2,     2,     1,     2      
2,     3,     1,     2      
1,     2,     1,     2      
1,     2,     1,     2      
3,     3,     1,     2      
2,     2,     3,     2      
1,     2,     1,     2      
2,     2,     2,     2      
2,     2,     2,     2      
2,     2,     3,     2      
1,     2,     1,     2      
2,     2,     4,     2      
1,     2,     2,     2      
2,     2,     2,     2      
2,     2,     2,     2      
2,     2,     2,     2      
2,     2,     2,     2      
1,     1,     151,   1      
2,     2,     3,     2      
2,     2,     3,     2      
1,     2,     2,     2      
2,     2,     2,     2      
1,     2,     1,     2      
2,     2,     2,     2      
2,     3,     1,     2      
2,     2,     2,     2      
2,     2,     2,     2      
2,     2,     3,     2      
3,     3,     1,     2      
2,     2,     2,     2      
2,     2,     2,     2      
2,     2,     5,     2      
1,     1,     170,   1      
1,     1,     136,   1      
1,     2,     1,     3      
1,     2,     1,     3      
2,     2,     3,     2      
2,     2,     2,     2      
3,     3,     1,     2      
2,     3,     1,     2      
1,     2,     1,     3      
2,     2,     2,     2      
3,     3,     1,     2      
2,     2,     2,     2      
1,     2,     4,     2      
2,     2,     2,     2      
3,     3,     1,     2      
2,     3,     1,     2      
1,     2,     2,     2      
1,     1,     146,   1      
2,     3,     1,     2      
----- n=8 --------------------------
c_g,   c_bf,  Πs,    k_bf   
4,     4,     1,     2      
3,     3,     2,     2      
3,     3,     1,     2      
3,     3,     3,     2      
3,     3,     1,     2      
2,     3,     3,     2      
2,     2,     6,     2      
2,     2,     4,     2      
2,     3,     2,     2      
2,     2,     5,     2      
2,     2,     8,     2      
3,     3,     3,     2      
2,     3,     1,     2      
2,     3,     1,     2      
2,     3,     1,     2      
3,     3,     2,     2      
3,     3,     3,     2      
2,     2,     6,     2      
2,     3,     2,     2      
3,     4,     1,     2      
1,     2,     2,     2      
3,     4,     1,     2      
3,     3,     1,     2      
2,     2,     8,     2      
2,     2,     8,     2      
3,     3,     2,     2      
3,     3,     1,     2      
3,     3,     3,     2      
3,     3,     2,     2      
4,     4,     1,     2      
2,     2,     7,     2      
2,     2,     10,    2      
2,     2,     9,     2      
2,     2,     8,     2      
4,     4,     1,     2      
2,     3,     1,     2      
2,     2,     3,     2      
2,     2,     2,     2      
4,     4,     1,     2      
2,     2,     5,     2      
2,     3,     1,     2      
3,     3,     3,     2      
3,     4,     1,     2      
2,     2,     3,     2      
2,     3,     1,     2      
2,     3,     2,     2      
4,     4,     1,     2      
2,     3,     1,     2      
3,     3,     2,     2      
2,     3,     1,     2      
2,     2,     5,     2      
2,     3,     1,     2      
3,     3,     2,     2      
3,     4,     1,     2      
2,     2,     5,     2      
1,     2,     5,     2      
2,     3,     1,     2      
3,     3,     2,     2      
3,     4,     1,     2      
3,     3,     2,     2      
3,     4,     1,     2      
2,     2,     7,     2      
2,     2,     8,     2      
2,     2,     7,     2      
3,     3,     1,     2      
2,     2,     7,     2      
2,     3,     2,     2      
3,     4,     1,     2      
2,     3,     1,     2      
2,     2,     8,     2      
2,     2,     4,     2      
3,     3,     1,     2      
2,     3,     1,     2      
3,     3,     2,     2      
3,     3,     2,     2      
2,     3,     1,     2      
4,     4,     1,     2      
2,     3,     2,     2      
3,     3,     2,     2      
2,     3,     1,     2      
----- n=9 --------------------------
c_g,   c_bf,  Πs,    k_bf   
2,     2,     11,    2      
2,     3,     1,     2      
3,     3,     3,     2      
1,     2,     5,     2      
2,     3,     1,     2      
3,     3,     2,     2      
3,     3,     1,     2      
1,     2,     4,     2      
2,     2,     10,    2      
3,     3,     1,     2      
2,     2,     16,    2      
2,     2,     6,     2      
4,     4,     1,     2      
1,     2,     3,     2      
4,     4,     1,     2      
2,     2,     11,    2      
1,     2,     7,     2      
1,     2,     3,     3      
2,     2,     7,     2      
1,     2,     6,     2      
2,     2,     7,     2      
2,     2,     9,     2      
2,     2,     8,     2      
2,     2,     8,     2      
2,     3,     1,     2      
1,     2,     6,     2      
2,     2,     8,     2      
2,     3,     2,     2      
1,     2,     1,     2      
1,     2,     7,     2      
2,     2,     9,     2      
2,     2,     10,    2      
2,     3,     1,     2      
2,     3,     1,     2      
2,     3,     1,     2      
2,     4,     1,     2      
2,     2,     2,     2      
4,     4,     1,     2      
3,     3,     1,     2      
2,     3,     1,     2      
3,     4,     1,     2      
3,     3,     1,     2      
4,     4,     1,     2      
3,     4,     1,     2      
2,     2,     10,    2      
2,     3,     1,     2      
2,     2,     10,    2      
2,     2,     10,    2      
3,     4,     1,     2      
2,     4,     1,     2      
3,     4,     1,     2      
2,     2,     16,    2      
3,     3,     1,     2      
2,     2,     12,    2      
2,     3,     1,     2      
2,     2,     15,    2      
1,     2,     10,    2      
2,     3,     1,     2      
2,     2,     7,     2      
2,     2,     14,    2      
1,     2,     3,     2      
2,     3,     1,     2      
2,     2,     13,    2      
2,     2,     7,     2      
3,     3,     1,     2      
1,     2,     8,     2      
2,     3,     1,     2      
1,     2,     11,    2      
2,     3,     1,     2      
2,     3,     3,     2      
2,     2,     10,    2      
2,     2,     6,     2      
2,     3,     1,     2      
2,     2,     3,     2      
2,     2,     4,     2      
1,     2,     5,     2      
2,     3,     2,     2      
2,     2,     10,    2      
2,     2,     7,     2      
2,     2,     12,    2      
----- n=10 -------------------------
c_g,   c_bf,  Πs,    k_bf   
3,     3,     2,     2      
4,     4,     1,     2      
3,     4,     1,     2      
3,     4,     1,     2      
3,     3,     3,     2      
3,     4,     1,     2      
3,     4,     1,     2      
3,     4,     1,     2      
3,     3,     1,     2      
3,     4,     2,     2      
2,     3,     1,     2      
2,     2,     19,    2      
2,     3,     1,     2      
3,     3,     2,     2      
4,     4,     1,     2      
2,     3,     1,     2      
2,     3,     1,     2      
2,     2,     32,    2      
3,     4,     1,     2      
3,     4,     1,     2      
2,     3,     2,     2      
3,     3,     1,     2      
3,     4,     1,     2      
2,     3,     1,     2      
2,     2,     30,    2      
2,     2,     29,    2      
3,     3,     5,     2      
3,     3,     2,     2      
3,     4,     1,     2      
2,     2,     27,    2      
2,     3,     2,     2      
3,     4,     1,     2      
4,     4,     1,     2      
2,     2,     22,    2      
2,     3,     2,     2      
3,     4,     1,     2      
3,     3,     3,     2      
3,     3,     3,     2      
2,     2,     7,     2      
4,     4,     1,     2      
3,     3,     2,     2      
3,     3,     2,     2      
2,     2,     23,    2      
3,     3,     2,     2      
3,     3,     2,     2      
3,     4,     3,     2      
2,     3,     1,     2      
4,     4,     2,     2      
4,     4,     1,     2      
2,     3,     1,     2      
3,     3,     3,     2      
4,     4,     2,     2      
2,     3,     1,     2      
2,     2,     19,    2      
4,     4,     2,     2      
3,     4,     1,     2      
2,     4,     1,     2      
4,     4,     2,     2      
2,     2,     30,    2      
2,     2,     21,    2      
4,     4,     1,     2      
2,     2,     22,    2      
3,     4,     1,     2      
3,     4,     2,     2      
3,     5,     1,     2      
3,     5,     1,     2      
3,     3,     2,     2      
3,     4,     1,     2      
4,     4,     1,     2      
2,     3,     2,     2      
3,     3,     5,     2      
2,     2,     29,    2      
3,     3,     4,     2      
3,     3,     2,     2      
4,     5,     1,     2      
3,     4,     1,     2      
2,     2,     19,    2      
3,     3,     1,     2      
4,     4,     1,     2      
2,     3,     1,     2      
