0,0,0,0,0
2,2,2,2,2
10,10,10,10,10
30,29,28,30,29
67,70,68,65,65
135,122,126,124,137
234,217,238,233,217
385,350,346,367,365
542,588,576,554,619
850,844,884,796,788
1162,1084,1166,1179,1181
1605,1537,1548,1501,1642
2113,2086,2132,1995,2033
2732,2759,2926,2570,2785
3390,3439,3468,3376,3356
4243,4442,4373,4398,4502
5171,5345,5254,5445,5773
6778,7132,6845,6326,7416
7777,8223,8089,8266,8196
9160,9762,9950,9429,10546
11425,11430,11924,11458,10594
14168,13035,12526,12737,12497
17135,15715,15932,15163,14910
17158,19611,17695,16978,19174
20157,21953,21082,20772,20386
25260,22962,25602,22675,24145
27995,25633,27292,26696,26856
30766,31039,29970,33359,29963
33853,34195,34086,33225,31692
40728,39170,36729,39784,37602
45454,45821,44580,48128,41770
44266,48966,53648,48795,52692
54496,53826,52002,58052,53537
61853,54615,63413,59756,62778
72512,65517,62326,67354,64494
77358,68666,73280,79070,77264
85609,83221,83062,81116,78822
86947,89992,88888,85069,90491
95965,93641,90496,100887,97555
106892,105880,107617,101383,113636
123442,113313,122574,114166,110047
119707,122793,118295,125173,119428
133433,130125,136990,130419,136847
152757,152611,154050,144682,160699
158044,159165,154696,158506,169771
183077,173669,168776,175513,176445
178168,175746,193961,187767,209828
241050,190124,193773,199596,203918
221528,212918,212811,208777,202030
224210,227449,228606,218671,213337
254157,282809,248791,235109,246937
263396,263802,268390,266302,261704
296668,273883,266303,281764,276533
286790,282019,306295,295673,319640
314797,323342,343584,305389,321708
337696,327182,326382,326485,342412
343873,342612,406974,363200,380111
374430,383972,410361,369884,360762
394557,412241,418547,413881,386121
439868,406299,429478,429829,432601
430457,454997,470199,467379,489037
475069,487400,470964,473112,461111
502488,492888,510833,506903,507788
525387,534633,527275,525776,489958
555324,561156,590267,572719,567294
608748,582833,571842,566983,605412
627261,603575,594874,640212,582709
664469,667208,648462,652634,697301
671877,671306,685231,657323,699212
736615,711272,729923,671894,693761
753456,761949,757420,756554,819355
770888,765638,845131,782690,788983
785584,808966,782268,808036,882376
863901,885549,840100,803349,866551
861288,896762,899802,944070,875445
975248,979185,872344,985227,972898
963795,957874,1123622,928268,946282
984817,1052845,1060133,994730,1001244
1072512,1121877,1057490,1075458,1099700
1086203,1112545,1211764,1126287,1076318
1216198,1156869,1270425,1158709,1207744
1322382,1222535,1273674,1207088,1208563
1325524,1275624,1236266,1288751,1286900
1250684,1300462,1316181,1309725,1336678
1442596,1308981,1407090,1411858,1367057
1406482,1541911,1469686,1508574,1451176
1557552,1511786,1484541,1540211,1472561
1519562,1456571,1579662,1616722,1566098
1586768,1644486,1706556,1624704,1559397
1605263,1602723,1728319,1618603,1729971
